Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
STAG2	stromal antigen 2	396 / 16,405	11
POLE	DNA polymerase epsilon, catalytic subunit	492 / 16,405	19
PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	568 / 16,405	14
SMC1A	structural maintenance of chromosomes 1A	266 / 16,405	11
CBLB	Cbl proto-oncogene B	270 / 16,405	10
CLTCL1	clathrin heavy chain like 1	315 / 16,405	11
CARD11	caspase recruitment domain family member 11	482 / 16,405	11
EPS15	epidermal growth factor receptor pathway substrate 15	183 / 16,405	12
NSD3	nuclear receptor binding SET domain protein 3	296 / 16,405	10
MYO5A	myosin VA	364 / 16,405	10
ARHGAP5	Rho GTPase activating protein 5	360 / 16,405	12
PDE4DIP	phosphodiesterase 4D interacting protein	434 / 16,405	11
ALK	ALK receptor tyrosine kinase	491 / 16,405	9
BRD4	bromodomain containing 4	264 / 16,405	12
RAD21	RAD21 cohesin complex component	197 / 16,405	9
TBL1XR1	TBL1X receptor 1	194 / 16,405	10
DDR2	discoidin domain receptor tyrosine kinase 2	267 / 16,405	10
EPHA3	EPH receptor A3	523 / 16,405	9
BAP1	BRCA1 associated protein 1	332 / 16,405	8
BRIP1	BRCA1 interacting protein C-terminal helicase 1	274 / 16,405	10
MB21D2	Mab-21 domain containing 2	198 / 16,405	8
NIN	ninein	384 / 16,405	8
MYH11	myosin heavy chain 11	566 / 16,405	13
NF2	neurofibromin 2	197 / 16,405	9
USP6	ubiquitin specific peptidase 6	345 / 16,405	11
FBLN2	fibulin 2	281 / 16,405	9
CHD2	chromodomain helicase DNA binding protein 2	354 / 16,405	10
PTPRB	protein tyrosine phosphatase receptor type B	630 / 16,405	13
KDM5C	lysine demethylase 5C	385 / 16,405	12
COL1A1	collagen type I alpha 1 chain	383 / 16,405	10
KIT	KIT proto-oncogene, receptor tyrosine kinase	336 / 16,405	9
FLT3	fms related receptor tyrosine kinase 3	440 / 16,405	9
KDM5A	lysine demethylase 5A	358 / 16,405	13
ASXL2	ASXL transcriptional regulator 2	343 / 16,405	10
GNAS	GNAS complex locus	366 / 16,405	9
TP63	tumor protein p63	401 / 16,405	9
CTNNA2	catenin alpha 2	665 / 16,405	11
NTRK3	neurotrophic receptor tyrosine kinase 3	504 / 16,405	10
TPR	translocated promoter region, nuclear basket protein	463 / 16,405	9
KAT6A	lysine acetyltransferase 6A	415 / 16,405	10
PBRM1	polybromo 1	579 / 16,405	8
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	260 / 16,405	10
ASXL1	ASXL transcriptional regulator 1	403 / 16,405	7
KTN1	kinectin 1	212 / 16,405	10
ARHGEF12	Rho guanine nucleotide exchange factor 12	305 / 16,405	10
TRIP11	thyroid hormone receptor interactor 11	315 / 16,405	9
COL3A1	collagen type III alpha 1 chain	583 / 16,405	10
HSP90AA1	heat shock protein 90 alpha family class A member 1	188 / 16,405	8
TGFBR2	transforming growth factor beta receptor 2	251 / 16,405	9
SLC34A2	solute carrier family 34 member 2	255 / 16,405	8
CTNND2	catenin delta 2	677 / 16,405	12
BCR	BCR activator of RhoGEF and GTPase	273 / 16,405	11
ERBB4	erb-b2 receptor tyrosine kinase 4	672 / 16,405	10
NSD2	nuclear receptor binding SET domain protein 2	387 / 16,405	14
GLI1	GLI family zinc finger 1	328 / 16,405	8
CTCF	CCCTC-binding factor	417 / 16,405	9
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	390 / 16,405	9
SNX29	sorting nexin 29	219 / 16,405	10
SND1	staphylococcal nuclease and tudor domain containing 1	283 / 16,405	7
EPAS1	endothelial PAS domain protein 1	212 / 16,405	8
HIF1A	hypoxia inducible factor 1 subunit alpha	177 / 16,405	8
ARID2	AT-rich interaction domain 2	527 / 16,405	9
BLM	BLM RecQ like helicase	261 / 16,405	11
KIF5B	kinesin family member 5B	181 / 16,405	9
MACC1	MET transcriptional regulator MACC1	234 / 16,405	8
FLT4	fms related receptor tyrosine kinase 4	470 / 16,405	13
CNOT3	CCR4-NOT transcription complex subunit 3	220 / 16,405	11
FANCA	FA complementation group A	255 / 16,405	8
PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	288 / 16,405	8
PRDM2	PR/SET domain 2	333 / 16,405	11
NUP98	nucleoporin 98 and 96 precursor	327 / 16,405	9
STAT5B	signal transducer and activator of transcription 5B	206 / 16,405	8
BTK	Bruton tyrosine kinase	241 / 16,405	8
ELL	elongation factor for RNA polymerase II	129 / 16,405	10
NUP214	nucleoporin 214	360 / 16,405	8
CTNND1	catenin delta 1	272 / 16,405	9
FBXO11	F-box protein 11	172 / 16,405	8
TSC1	TSC complex subunit 1	273 / 16,405	9
ZMYM2	zinc finger MYM-type containing 2	287 / 16,405	9
BCL6	BCL6 transcription repressor	219 / 16,405	8
XPC	XPC complex subunit, DNA damage recognition and repair factor	144 / 16,405	7
RBM15	RNA binding motif protein 15	220 / 16,405	10
AXIN2	axin 2	248 / 16,405	7
MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	237 / 16,405	8
SDHA	succinate dehydrogenase complex flavoprotein subunit A	191 / 16,405	7
LARP4B	La ribonucleoprotein 4B	268 / 16,405	9
CSF3R	colony stimulating factor 3 receptor	242 / 16,405	7
PLCG1	phospholipase C gamma 1	253 / 16,405	8
FAS	Fas cell surface death receptor	141 / 16,405	5
CDKN2A	cyclin dependent kinase inhibitor 2A	576 / 16,405	9
MN1	MN1 proto-oncogene, transcriptional regulator	292 / 16,405	8
PALB2	partner and localizer of BRCA2	233 / 16,405	7
CLTC	clathrin heavy chain	301 / 16,405	7
RECQL4	RecQ like helicase 4	200 / 16,405	11
THRAP3	thyroid hormone receptor associated protein 3	230 / 16,405	7
ECT2L	epithelial cell transforming 2 like	192 / 16,405	7
POT1	protection of telomeres 1	207 / 16,405	7
NFATC2	nuclear factor of activated T cells 2	326 / 16,405	7
RALGDS	ral guanine nucleotide dissociation stimulator	182 / 16,405	7
JAK1	Janus kinase 1	371 / 16,405	11
